##Iter	TotalE	TotalM
1049 -100 56 3136
1050 -100 56 3136
1051 -100 56 3136
1052 -100 56 3136
1053 -100 56 3136
1054 -100 56 3136
1055 -100 56 3136
1056 -100 56 3136
1057 -96 54 2916
1058 -96 54 2916
1059 -92 52 2704
1060 -92 52 2704
1061 -92 52 2704
1062 -92 52 2704
1063 -96 54 2916
1064 -104 56 3136
1065 -104 56 3136
1066 -104 56 3136
1067 -104 56 3136
1068 -104 56 3136
1069 -104 56 3136
1070 -104 56 3136
1071 -104 56 3136
1072 -104 56 3136
1073 -104 56 3136
1074 -104 56 3136
1075 -108 58 3364
1076 -108 58 3364
1077 -108 58 3364
1078 -108 58 3364
1079 -108 58 3364
1080 -112 60 3600
1081 -112 60 3600
1082 -112 60 3600
1083 -112 60 3600
1084 -112 60 3600
1085 -112 60 3600
1086 -112 60 3600
1087 -112 60 3600
1088 -112 60 3600
1089 -104 58 3364
1090 -104 58 3364
1091 -104 58 3364
1092 -104 58 3364
1093 -104 58 3364
1094 -104 58 3364
1095 -104 58 3364
1096 -104 58 3364
1097 -104 58 3364
1098 -104 58 3364
1099 -104 58 3364
1100 -104 58 3364
1101 -104 58 3364
1102 -104 58 3364
1103 -104 58 3364
1104 -104 58 3364
1105 -104 58 3364
1106 -104 58 3364
1107 -104 58 3364
1108 -104 58 3364
1109 -104 58 3364
1110 -104 58 3364
1111 -104 58 3364
1112 -104 58 3364
1113 -104 58 3364
1114 -104 58 3364
1115 -104 58 3364
1116 -104 58 3364
1117 -104 58 3364
1118 -104 58 3364
1119 -100 56 3136
1120 -100 56 3136
1121 -100 56 3136
1122 -100 56 3136
1123 -100 56 3136
1124 -100 56 3136
1125 -104 58 3364
1126 -104 58 3364
1127 -104 58 3364
1128 -104 58 3364
1129 -104 58 3364
1130 -104 58 3364
1131 -100 56 3136
1132 -100 56 3136
1133 -100 56 3136
1134 -100 56 3136
1135 -100 56 3136
1136 -100 56 3136
1137 -100 56 3136
1138 -100 56 3136
1139 -100 56 3136
1140 -100 56 3136
1141 -100 56 3136
1142 -100 56 3136
1143 -100 56 3136
1144 -100 56 3136
1145 -104 58 3364
1146 -104 58 3364
1147 -104 58 3364
1148 -104 58 3364
1149 -104 58 3364
1150 -104 58 3364
1151 -104 58 3364
1152 -104 58 3364
1153 -96 56 3136
1154 -104 58 3364
1155 -104 58 3364
1156 -104 58 3364
1157 -112 60 3600
1158 -112 60 3600
1159 -112 60 3600
1160 -108 58 3364
1161 -108 58 3364
1162 -108 58 3364
1163 -108 58 3364
1164 -108 58 3364
1165 -100 56 3136
1166 -100 56 3136
1167 -100 56 3136
1168 -100 56 3136
1169 -100 56 3136
1170 -100 56 3136
1171 -100 56 3136
1172 -100 56 3136
1173 -100 56 3136
1174 -100 56 3136
1175 -100 56 3136
1176 -100 56 3136
1177 -100 56 3136
1178 -100 56 3136
1179 -100 56 3136
1180 -100 56 3136
1181 -100 56 3136
1182 -108 58 3364
1183 -108 58 3364
1184 -100 56 3136
1185 -100 56 3136
1186 -100 56 3136
1187 -100 56 3136
1188 -100 56 3136
1189 -100 56 3136
1190 -100 56 3136
1191 -100 56 3136
1192 -100 56 3136
1193 -100 56 3136
1194 -100 56 3136
1195 -100 56 3136
1196 -100 56 3136
1197 -104 58 3364
1198 -104 58 3364
1199 -104 58 3364
1200 -104 58 3364
1201 -104 58 3364
1202 -104 58 3364
1203 -104 58 3364
1204 -104 58 3364
1205 -104 58 3364
1206 -104 58 3364
1207 -112 60 3600
1208 -104 58 3364
1209 -104 58 3364
1210 -104 58 3364
1211 -104 58 3364
1212 -104 58 3364
1213 -104 58 3364
1214 -104 58 3364
1215 -104 58 3364
1216 -104 58 3364
1217 -104 58 3364
1218 -100 56 3136
1219 -100 56 3136
1220 -100 56 3136
1221 -108 58 3364
1222 -116 60 3600
1223 -116 60 3600
1224 -116 60 3600
1225 -116 60 3600
1226 -116 60 3600
1227 -116 60 3600
1228 -116 60 3600
1229 -116 60 3600
1230 -116 60 3600
1231 -116 60 3600
1232 -116 60 3600
1233 -116 60 3600
1234 -116 60 3600
1235 -108 58 3364
1236 -108 58 3364
1237 -100 56 3136
1238 -92 54 2916
1239 -92 54 2916
1240 -92 54 2916
1241 -92 54 2916
1242 -92 54 2916
1243 -92 52 2704
1244 -92 52 2704
1245 -92 52 2704
1246 -92 52 2704
1247 -92 52 2704
1248 -92 52 2704
1249 -92 52 2704
1250 -92 52 2704
1251 -96 54 2916
1252 -96 54 2916
1253 -96 54 2916
1254 -92 52 2704
1255 -96 54 2916
1256 -96 54 2916
1257 -96 54 2916
1258 -96 54 2916
1259 -92 52 2704
1260 -92 52 2704
1261 -100 54 2916
1262 -100 54 2916
1263 -100 54 2916
1264 -100 54 2916
1265 -100 54 2916
1266 -100 54 2916
1267 -100 54 2916
1268 -100 54 2916
1269 -100 54 2916
1270 -100 54 2916
1271 -100 54 2916
1272 -100 54 2916
1273 -100 54 2916
1274 -100 54 2916
1275 -100 54 2916
1276 -100 52 2704
1277 -100 52 2704
1278 -100 52 2704
1279 -100 52 2704
1280 -100 52 2704
1281 -100 52 2704
1282 -100 52 2704
1283 -100 52 2704
1284 -100 52 2704
1285 -100 52 2704
1286 -96 50 2500
1287 -92 48 2304
1288 -92 48 2304
1289 -92 48 2304
1290 -92 48 2304
1291 -92 48 2304
1292 -92 48 2304
1293 -92 48 2304
1294 -92 48 2304
1295 -96 50 2500
1296 -96 52 2704
1297 -104 54 2916
1298 -104 54 2916
1299 -104 56 3136
1300 -96 54 2916
1301 -100 56 3136
1302 -100 56 3136
1303 -100 56 3136
1304 -100 56 3136
1305 -100 56 3136
1306 -100 56 3136
1307 -100 56 3136
1308 -100 56 3136
1309 -100 56 3136
1310 -100 56 3136
1311 -100 56 3136
1312 -100 56 3136
1313 -100 56 3136
1314 -96 54 2916
1315 -96 54 2916
1316 -96 54 2916
1317 -96 54 2916
1318 -96 54 2916
1319 -96 54 2916
1320 -88 52 2704
1321 -92 54 2916
1322 -92 54 2916
1323 -100 56 3136
1324 -100 56 3136
1325 -96 54 2916
1326 -96 54 2916
1327 -96 54 2916
1328 -92 52 2704
1329 -92 52 2704
1330 -92 52 2704
1331 -92 52 2704
1332 -92 52 2704
1333 -92 52 2704
1334 -92 52 2704
